TransactionAmount,TransactionDate,TransactionType,Channel,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,hour,day_of_week,days_since_last,TransactionType_enc,Channel_enc,anomaly,anomaly_score,reasons
17.45,2023-09-13 16:41:19,Debit,ATM,88,1,1959.52,2024-11-04 08:09:39,16,2,418,1,0,1,0.1407413130101749,[]
302.16,2023-10-18 17:47:52,Debit,Online,138,5,3876.61,2024-11-04 08:07:38,17,2,383,1,2,1,0.0008974138152892941,[]
442.74,2023-10-16 17:47:41,Debit,Branch,136,1,1790.27,2024-11-04 08:09:45,17,0,385,1,1,1,0.14360822383799537,[]
623.9,2023-08-08 17:44:21,Debit,ATM,249,1,711.47,2024-11-04 08:10:15,17,1,454,1,0,1,0.06760292989332861,[]
445.41,2023-11-20 16:27:31,Debit,ATM,235,3,12154.66,2024-11-04 08:08:08,16,0,350,1,0,-1,-0.01106706552502168,['High login attempts (3)']
63.41,2023-11-24 17:29:06,Debit,ATM,36,1,1546.22,2024-11-04 08:07:15,17,4,346,1,0,1,0.07189094491189119,[]
346.85,2023-11-03 18:33:50,Debit,ATM,88,1,7208.15,2024-11-04 08:10:25,18,4,367,1,0,1,0.05516078562384941,[]
71.95,2023-02-13 16:39:52,Credit,Online,53,1,9267.32,2024-11-04 08:06:23,16,0,630,0,2,1,0.06227833702101726,[]
7.5,2023-02-17 16:08:54,Debit,Online,36,1,6485.78,2024-11-04 08:11:28,16,4,626,1,2,1,0.05925312567142649,[]
206.46,2023-11-27 18:26:02,Debit,ATM,279,1,3984.38,2024-11-04 08:06:44,18,0,343,1,0,1,0.04080813586654031,[]
423.11,2023-07-25 18:41:02,Debit,ATM,47,1,412.78,2024-11-04 08:10:58,18,1,468,1,0,1,0.08215265859647103,[]
35.84,2023-03-28 17:23:54,Credit,Online,172,1,4795.65,2024-11-04 08:10:57,17,1,587,0,2,1,0.07185973010827884,[]
88.6,2023-02-14 17:01:44,Credit,Branch,105,1,246.57,2024-11-04 08:08:47,17,1,629,0,1,1,0.07134821465611241,[]
1431.3,2023-09-04 18:46:40,Debit,ATM,168,1,1058.13,2024-11-04 08:11:20,18,0,427,1,0,1,0.0036486203127509276,[]
53.81,2023-10-16 16:55:44,Credit,ATM,37,2,2564.62,2024-11-04 08:12:05,16,0,385,0,0,1,0.007775068689821474,[]
22.46,2023-05-17 16:03:51,Debit,Online,78,1,6631.5,2024-11-04 08:07:46,16,2,537,1,2,1,0.12843550394750575,[]
334.89,2023-07-20 18:23:13,Debit,Online,260,1,1661.68,2024-11-04 08:08:44,18,3,473,1,2,1,0.03553609047338213,[]
319.27,2023-07-20 16:58:05,Credit,Online,59,1,5504.01,2024-11-04 08:06:35,16,3,473,0,2,1,0.0671799764820612,[]
144.3,2023-12-08 17:24:44,Debit,ATM,88,1,312.19,2024-11-04 08:10:39,17,4,332,1,0,1,0.07884866358901366,[]
348.7,2023-05-02 17:13:45,Credit,Branch,149,1,2445.58,2024-11-04 08:06:58,17,1,552,0,1,1,0.10136730615915007,[]
366.21,2023-01-12 17:57:06,Debit,ATM,181,1,10862.99,2024-11-04 08:11:36,17,3,662,1,0,1,0.051774228985641324,[]
99.11,2023-05-01 16:58:41,Debit,Online,12,1,5414.87,2024-11-04 08:09:35,16,0,553,1,2,1,0.1241287262019301,[]
539.35,2023-05-22 17:34:50,Debit,ATM,127,1,3919.44,2024-11-04 08:11:49,17,0,532,1,0,1,0.13250054732256705,[]
188.99,2023-06-08 16:43:06,Debit,Branch,92,1,7315.34,2024-11-04 08:07:32,16,3,515,1,1,1,0.14201387004118843,[]
1416.69,2023-01-16 17:00:11,Debit,ATM,58,1,3740.73,2024-11-04 08:11:35,17,0,658,1,0,1,0.0045084528442030924,[]
710.14,2023-03-08 16:20:43,Debit,ATM,227,1,465.63,2024-11-04 08:12:20,16,2,607,1,0,1,0.0629639537502581,[]
308.68,2023-02-27 17:14:10,Debit,Online,170,1,9992.36,2024-11-04 08:10:16,17,0,616,1,2,1,0.08322058715735664,[]
166.68,2023-03-27 18:47:56,Debit,ATM,139,1,5141.19,2024-11-04 08:12:19,18,0,588,1,0,1,0.10406288692461613,[]
0.99,2023-09-13 16:55:14,Debit,ATM,133,1,4317.85,2024-11-04 08:09:12,16,2,418,1,0,1,0.14600647327559552,[]
505.19,2023-03-14 16:25:04,Debit,ATM,128,5,5326.68,2024-11-04 08:10:19,16,1,601,1,0,-1,-0.013778861409866838,['High login attempts (5)']
66.58,2023-12-04 17:06:43,Debit,Branch,79,1,1636.32,2024-11-04 08:08:48,17,0,336,1,1,1,0.13247801470384774,[]
223.43,2023-02-08 17:59:42,Debit,Branch,178,1,7932.41,2024-11-04 08:09:38,17,2,635,1,1,1,0.10351837972026384,[]
659.95,2023-09-20 16:59:45,Debit,Online,114,1,3927.69,2024-11-04 08:06:26,16,2,411,1,2,1,0.11241373731937465,[]
634.86,2023-08-10 16:28:55,Debit,ATM,45,1,588.5,2024-11-04 08:08:00,16,3,452,1,0,1,0.09574799806926504,[]
286.5,2023-10-23 16:58:04,Credit,Branch,60,1,8517.95,2024-11-04 08:09:17,16,0,378,0,1,1,0.08976949829341846,[]
322.96,2023-11-27 16:21:20,Credit,Branch,168,1,2401.59,2024-11-04 08:11:24,16,0,343,0,1,1,0.08797574363587418,[]
654.48,2023-08-07 16:37:06,Debit,Branch,114,1,6776.41,2024-11-04 08:10:17,16,0,455,1,1,1,0.13716520222501338,[]
157.97,2023-06-21 16:00:51,Debit,Branch,140,1,5529.92,2024-11-04 08:10:06,16,2,502,1,1,1,0.1537239791480386,[]
120.9,2023-07-12 16:17:27,Debit,Branch,52,1,9009.42,2024-11-04 08:08:19,16,2,481,1,1,1,0.1356669180131579,[]
254.77,2023-01-18 16:47:29,Debit,Branch,57,1,5994.87,2024-11-04 08:07:07,16,2,656,1,1,1,0.12092156614971805,[]
795.96,2023-09-28 17:53:43,Debit,Online,119,1,5468.58,2024-11-04 08:08:26,17,3,403,1,2,1,0.08903404616581645,[]
149.25,2023-04-10 16:38:45,Debit,ATM,142,1,5677.52,2024-11-04 08:07:41,16,0,574,1,0,1,0.14863994868979374,[]
3.42,2023-09-25 16:14:35,Credit,Online,158,1,14180.21,2024-11-04 08:08:48,16,0,406,0,2,1,0.02389994376390636,[]
68.19,2023-03-14 16:07:32,Credit,Online,189,1,9895.1,2024-11-04 08:07:50,16,1,601,0,2,1,0.06042096049308554,[]
493.42,2023-06-14 17:21:32,Debit,Branch,111,1,2232.84,2024-11-04 08:10:01,17,2,509,1,1,1,0.14493875018694613,[]
37.57,2023-04-26 18:35:50,Debit,ATM,42,1,7739.54,2024-11-04 08:09:21,18,2,558,1,0,1,0.07093804941073445,[]
127.0,2023-09-15 17:09:41,Credit,Branch,68,5,431.16,2024-11-04 08:10:12,17,4,416,0,1,-1,-0.048094236713429384,['High login attempts (5)']
96.89,2023-03-16 16:02:01,Debit,ATM,53,1,6044.93,2024-11-04 08:11:06,16,3,599,1,0,1,0.12134038053825597,[]
448.33,2023-05-01 16:11:56,Debit,ATM,161,1,922.19,2024-11-04 08:09:44,16,0,553,1,0,1,0.13454704252358035,[]
1116.48,2023-09-18 17:44:50,Debit,ATM,55,1,447.53,2024-11-04 08:11:35,17,0,413,1,0,1,0.049668767991105645,[]
8.65,2023-06-05 17:08:37,Debit,Online,273,1,10778.35,2024-11-04 08:09:03,17,0,518,1,2,1,0.06526072547047768,[]
65.57,2023-04-06 17:24:16,Debit,Online,82,1,7513.79,2024-11-04 08:06:26,17,3,578,1,2,1,0.12571502828630143,[]
539.81,2023-02-21 16:14:16,Debit,Online,177,1,2051.25,2024-11-04 08:09:05,16,1,622,1,2,1,0.09658755064297386,[]
363.53,2023-01-18 17:03:54,Debit,ATM,142,1,1038.91,2024-11-04 08:10:57,17,2,656,1,0,1,0.09486512744747666,[]
64.9,2023-02-14 16:23:39,Credit,Branch,72,1,6854.61,2024-11-04 08:10:18,16,1,629,0,1,1,0.07305836128201915,[]
358.18,2023-04-10 16:44:52,Debit,ATM,157,1,619.86,2024-11-04 08:07:58,16,0,574,1,0,1,0.12940931740039852,[]
167.2,2023-01-18 17:53:37,Debit,Branch,84,1,11320.83,2024-11-04 08:06:52,17,2,656,1,1,1,0.100078644067429,[]
121.91,2023-06-26 18:39:52,Debit,Branch,133,1,14510.8,2024-11-04 08:08:59,18,0,497,1,1,1,0.05526027681786194,[]
137.57,2023-12-11 17:26:22,Debit,Online,70,1,5103.67,2024-11-04 08:11:22,17,0,329,1,2,1,0.11477319807132996,[]
534.62,2023-12-05 17:51:28,Debit,Online,45,1,13793.53,2024-11-04 08:06:35,17,1,335,1,2,1,0.045919652309384884,[]
463.92,2023-03-13 16:41:12,Debit,Online,199,1,2403.39,2024-11-04 08:09:14,16,0,602,1,2,1,0.11581268331719224,[]
320.14,2023-01-31 16:58:42,Debit,Online,96,1,3075.97,2024-11-04 08:07:40,16,1,643,1,2,1,0.11798992797613445,[]
214.93,2023-05-15 17:02:15,Debit,Online,52,1,7835.4,2024-11-04 08:08:51,17,0,539,1,2,1,0.12916496721014176,[]
660.02,2023-10-12 16:57:36,Debit,Branch,84,1,414.43,2024-11-04 08:08:35,16,3,389,1,1,1,0.10562063845730946,[]
345.81,2023-06-26 16:10:57,Debit,Branch,135,1,6116.8,2024-11-04 08:12:14,16,0,497,1,1,1,0.1567948806964955,[]
143.54,2023-10-16 16:06:05,Debit,ATM,80,1,6067.62,2024-11-04 08:08:22,16,0,385,1,0,1,0.14736358755058293,[]
42.55,2023-03-31 18:57:11,Debit,Branch,29,1,7341.43,2024-11-04 08:10:32,18,4,584,1,1,1,0.058310625693202445,[]
1063.25,2023-01-17 16:48:10,Credit,Online,128,1,1240.71,2024-11-04 08:07:39,16,1,657,0,2,-1,-0.016585477478905375,"['Unusually large amount ($1063.25)', 'Amount is over 50% of account balance']"
541.79,2023-08-11 16:43:45,Debit,ATM,125,1,1454.08,2024-11-04 08:11:29,16,4,451,1,0,1,0.0947141424320529,[]
40.57,2023-02-13 17:02:27,Debit,Branch,63,1,1476.91,2024-11-04 08:06:37,17,0,630,1,1,1,0.13211531205919247,[]
120.24,2023-08-28 16:52:22,Debit,Branch,131,2,1943.13,2024-11-04 08:08:20,16,0,434,1,1,1,0.10832401674436515,[]
498.67,2023-12-05 16:19:23,Debit,Online,244,1,1719.97,2024-11-04 08:08:24,16,1,335,1,2,1,0.06702420277904819,[]
227.22,2023-03-27 18:52:04,Debit,ATM,220,1,832.82,2024-11-04 08:11:56,18,0,588,1,0,1,0.07800110849613573,[]
1182.86,2023-12-11 16:06:51,Debit,Online,34,1,7696.16,2024-11-04 08:08:58,16,0,329,1,2,1,0.01575765238650262,[]
56.94,2023-12-11 16:52:47,Credit,Online,74,1,7004.63,2024-11-04 08:07:42,16,0,329,0,2,1,0.07110639621974124,[]
629.82,2023-07-17 16:22:23,Debit,ATM,159,1,6385.69,2024-11-04 08:11:59,16,0,476,1,0,1,0.1240900300883574,[]
59.44,2023-06-13 17:52:56,Debit,Online,176,1,5472.03,2024-11-04 08:06:34,17,1,510,1,2,1,0.12425113891063722,[]
186.69,2023-12-29 16:38:21,Debit,Branch,54,1,8602.22,2024-11-04 08:08:12,16,4,311,1,1,1,0.07712296712553735,[]
230.46,2023-04-25 17:33:27,Debit,Online,179,1,162.53,2024-11-04 08:08:50,17,1,559,1,2,1,0.10813244868062988,[]
65.09,2023-02-28 17:58:02,Credit,Online,159,1,9370.9,2024-11-04 08:09:41,17,1,615,0,2,1,0.058197807533779455,[]
457.09,2023-05-25 16:52:57,Credit,Online,63,1,8570.82,2024-11-04 08:08:45,16,3,529,0,2,1,0.04744383521937945,[]
552.02,2023-11-30 16:51:46,Credit,ATM,100,1,522.08,2024-11-04 08:09:25,16,3,340,0,0,1,0.03126839514517443,[]
377.12,2023-08-14 17:12:27,Debit,ATM,61,1,836.67,2024-11-04 08:11:40,17,0,448,1,0,1,0.12950009747122893,[]
204.56,2023-09-11 17:51:17,Credit,Branch,179,1,364.72,2024-11-04 08:10:26,17,0,420,0,1,1,0.08546080721201693,[]
420.28,2023-05-17 17:28:25,Debit,Branch,144,1,8557.32,2024-11-04 08:09:01,17,2,537,1,1,1,0.13530248183803384,[]
97.09,2023-04-10 18:26:56,Debit,ATM,202,4,1579.57,2024-11-04 08:06:33,18,0,574,1,0,-1,-0.01489022638833637,['High login attempts (4)']
124.59,2023-05-05 17:32:18,Debit,Branch,171,1,129.29,2024-11-04 08:09:21,17,4,549,1,1,1,0.09537725964804095,[]
73.88,2023-01-02 16:27:18,Debit,Online,34,1,6474.41,2024-11-04 08:09:09,16,0,672,1,2,1,0.09489063570844036,[]
77.43,2023-01-19 16:11:12,Debit,Online,169,1,1380.21,2024-11-04 08:06:33,16,3,655,1,2,1,0.07995698083918445,[]
106.16,2023-04-14 17:21:48,Debit,ATM,277,4,7487.79,2024-11-04 08:08:51,17,4,570,1,0,-1,-0.024059538226531507,"['High login attempts (4)', 'Unusually long transaction duration']"
245.93,2023-06-06 18:53:35,Debit,Branch,172,1,7986.63,2024-11-04 08:11:58,18,1,517,1,1,1,0.09852105135962586,[]
622.41,2023-12-11 16:57:41,Debit,ATM,125,1,7322.01,2024-11-04 08:07:48,16,0,329,1,0,1,0.09775285209517331,[]
43.73,2023-04-03 16:43:29,Debit,ATM,145,1,9929.43,2024-11-04 08:10:33,16,0,581,1,0,1,0.11678629002784052,[]
1282.86,2023-05-15 16:52:40,Debit,Branch,68,1,1830.98,2024-11-04 08:07:32,16,0,539,1,1,1,0.05664632078903342,[]
2.03,2024-01-01 16:07:05,Credit,ATM,28,1,3012.31,2024-11-04 08:08:50,16,0,308,0,0,1,0.026707170946648318,[]
770.65,2023-07-05 17:49:26,Debit,Online,137,1,7198.8,2024-11-04 08:09:01,17,2,488,1,2,1,0.10618612896612223,[]
260.31,2023-02-28 16:46:55,Debit,Branch,113,1,10980.38,2024-11-04 08:12:03,16,1,615,1,1,1,0.11813052203295782,[]
356.1,2023-10-25 16:13:39,Credit,Branch,187,1,868.35,2024-11-04 08:11:02,16,2,376,0,1,1,0.06599557917279453,[]
27.07,2023-03-06 17:39:01,Credit,Branch,39,1,3773.29,2024-11-04 08:09:57,17,0,609,0,1,1,0.08175140212684939,[]
119.89,2023-12-19 17:11:31,Debit,ATM,60,1,6697.77,2024-11-04 08:09:02,17,1,321,1,0,1,0.11618905216494496,[]
106.39,2023-02-13 18:42:09,Debit,Online,281,1,9410.99,2024-11-04 08:10:32,18,0,630,1,2,1,0.00972606877976101,[]
12.04,2023-11-15 16:08:52,Debit,Online,58,1,6213.32,2024-11-04 08:08:25,16,2,355,1,2,1,0.10698112993287212,[]
365.7,2023-01-27 16:35:40,Debit,Branch,115,2,368.78,2024-11-04 08:10:17,16,4,647,1,1,1,0.0331268307132675,[]
29.38,2023-02-15 16:30:09,Credit,Branch,63,1,1663.31,2024-11-04 08:11:08,16,2,628,0,1,1,0.07382606708879946,[]
319.85,2023-07-26 16:44:22,Debit,ATM,148,1,711.66,2024-11-04 08:07:45,16,2,467,1,0,1,0.1336599901730357,[]
350.14,2023-03-24 18:50:42,Credit,Online,38,1,2403.25,2024-11-04 08:08:40,18,4,591,0,2,1,0.006777210163994907,[]
163.94,2023-08-03 18:49:37,Credit,Branch,73,1,5957.37,2024-11-04 08:09:51,18,3,459,0,1,1,0.05295517516174231,[]
170.53,2023-02-06 18:59:44,Debit,Branch,58,1,801.01,2024-11-04 08:09:49,18,0,637,1,1,1,0.09594462336485265,[]
262.22,2023-07-13 17:48:24,Credit,ATM,136,1,5711.71,2024-11-04 08:12:12,17,3,480,0,0,1,0.05513576022388922,[]
41.49,2023-04-24 16:47:20,Debit,Online,13,1,928.33,2024-11-04 08:12:03,16,0,560,1,2,1,0.11136711792888976,[]
121.43,2023-03-21 16:20:33,Credit,Branch,243,1,7365.28,2024-11-04 08:07:28,16,1,594,0,1,1,0.04830834190686184,[]
350.46,2023-12-08 16:16:02,Debit,Branch,165,1,5839.38,2024-11-04 08:06:32,16,4,332,1,1,1,0.08306128860610834,[]
220.41,2023-09-04 16:42:49,Credit,Online,155,1,5116.98,2024-11-04 08:10:04,16,0,427,0,2,1,0.09211005970755726,[]
33.46,2023-02-20 16:52:03,Debit,ATM,111,1,3641.07,2024-11-04 08:09:12,16,0,623,1,0,1,0.12992734864196787,[]
104.79,2023-08-07 16:06:32,Debit,ATM,223,1,1352.19,2024-11-04 08:10:07,16,0,455,1,0,1,0.13433093967632448,[]
246.27,2023-12-27 16:48:30,Debit,Online,141,1,7299.86,2024-11-04 08:10:57,16,2,313,1,2,1,0.10197879958416811,[]
48.85,2023-12-08 16:45:12,Debit,ATM,176,1,1503.56,2024-11-04 08:07:15,16,4,332,1,0,1,0.06430592390407086,[]
332.0,2023-04-27 16:27:41,Debit,ATM,17,1,5943.13,2024-11-04 08:07:03,16,3,557,1,0,1,0.11868558259157092,[]
118.1,2023-10-31 16:49:13,Debit,Online,167,1,895.66,2024-11-04 08:09:14,16,1,370,1,2,1,0.11794831192211164,[]
84.59,2023-04-19 16:54:46,Credit,Branch,10,1,5669.1,2024-11-04 08:07:12,16,2,565,0,1,1,0.06382876843512408,[]
295.64,2023-12-14 17:31:18,Debit,Online,82,1,1061.96,2024-11-04 08:10:41,17,3,326,1,2,1,0.09536326737298012,[]
514.33,2023-06-02 16:27:08,Debit,Branch,160,1,1592.94,2024-11-04 08:12:17,16,4,521,1,1,1,0.09672310768220593,[]
992.17,2023-02-27 18:23:11,Debit,ATM,169,1,6215.96,2024-11-04 08:12:19,18,0,616,1,0,1,0.018234285916764237,[]
94.59,2023-12-01 17:04:00,Debit,Online,34,1,6171.89,2024-11-04 08:10:37,17,4,339,1,2,1,0.06795159059787304,[]
80.43,2023-01-04 16:09:43,Debit,Branch,157,1,5987.67,2024-11-04 08:08:18,16,2,670,1,1,1,0.10748624905314835,[]
54.25,2023-07-31 16:51:50,Debit,Online,37,1,14783.33,2024-11-04 08:08:53,16,0,462,1,2,1,0.05782678011540454,[]
178.88,2023-06-19 17:31:08,Credit,Branch,93,4,4708.29,2024-11-04 08:12:10,17,0,504,0,1,1,0.009828975356359182,[]
518.85,2023-10-23 18:37:47,Debit,Online,82,1,1806.0,2024-11-04 08:06:37,18,0,378,1,2,1,0.07437697093284112,[]
10.65,2023-04-24 16:24:49,Debit,Online,161,1,13240.72,2024-11-04 08:10:21,16,0,560,1,2,1,0.07400635580945403,[]
198.62,2023-05-15 16:19:14,Credit,Branch,84,1,1196.07,2024-11-04 08:06:38,16,0,539,0,1,1,0.10173687340067677,[]
107.03,2023-03-06 18:27:13,Debit,Branch,73,1,1408.07,2024-11-04 08:12:13,18,0,609,1,1,1,0.11080547504904592,[]
139.57,2023-11-17 17:59:11,Debit,ATM,263,3,271.78,2024-11-04 08:07:23,17,4,353,1,0,-1,-0.01667604469488826,"['High login attempts (3)', 'Amount is over 50% of account balance']"
312.47,2023-05-02 17:24:26,Debit,ATM,148,4,9419.27,2024-11-04 08:08:05,17,1,552,1,0,1,0.0014267759101855848,[]
346.11,2023-01-04 17:00:17,Debit,Branch,213,1,9551.64,2024-11-04 08:08:03,17,2,670,1,1,1,0.07016427276443504,[]
138.06,2023-07-25 17:21:53,Debit,Branch,159,1,1070.47,2024-11-04 08:06:52,17,1,468,1,1,1,0.14305998501118428,[]
158.02,2023-09-20 17:09:14,Debit,ATM,120,1,9374.24,2024-11-04 08:09:57,17,2,411,1,0,1,0.12438846340828802,[]
830.01,2023-07-21 16:43:59,Credit,Online,96,1,4253.18,2024-11-04 08:11:27,16,4,472,0,2,1,0.026304976533001123,[]
435.5,2023-05-15 18:41:05,Debit,ATM,112,1,6981.03,2024-11-04 08:09:40,18,0,539,1,0,1,0.09576282924645668,[]
110.49,2023-10-31 17:06:47,Debit,Online,48,1,10483.93,2024-11-04 08:12:20,17,1,370,1,2,1,0.10185806214691123,[]
329.4,2023-12-25 16:30:09,Debit,Online,68,1,9588.07,2024-11-04 08:07:55,16,0,315,1,2,1,0.09100179961937832,[]
635.4,2023-09-19 16:55:00,Debit,ATM,106,1,1238.11,2024-11-04 08:11:45,16,1,412,1,0,1,0.11757112969911104,[]
769.97,2023-02-16 18:56:44,Debit,Branch,23,1,1244.93,2024-11-04 08:09:51,18,3,627,1,1,1,0.026833469783098085,[]
175.07,2023-09-04 17:46:20,Debit,Branch,169,1,1040.25,2024-11-04 08:08:15,17,0,427,1,1,1,0.144613868600746,[]
7.31,2023-06-26 16:04:11,Debit,Branch,282,1,5757.67,2024-11-04 08:07:15,16,0,497,1,1,1,0.0956719870941174,[]
175.15,2023-11-09 17:02:41,Debit,ATM,32,1,1712.65,2024-11-04 08:09:45,17,3,361,1,0,1,0.10844926263946003,[]
32.54,2023-07-04 16:25:35,Debit,Online,183,4,1544.88,2024-11-04 08:07:01,16,1,489,1,2,1,0.0210023734709599,[]
121.82,2023-09-08 18:24:14,Debit,Online,119,1,13293.83,2024-11-04 08:11:30,18,4,423,1,2,1,0.027848241783962058,[]
56.12,2023-09-13 18:49:55,Debit,ATM,102,1,8839.67,2024-11-04 08:09:30,18,2,418,1,0,1,0.07546901906417625,[]
424.7,2023-01-30 17:37:14,Credit,Online,178,1,6239.89,2024-11-04 08:08:25,17,0,644,0,2,1,0.05900327119447468,[]
35.16,2023-10-25 17:50:23,Debit,Branch,130,1,8459.18,2024-11-04 08:10:34,17,2,376,1,1,1,0.14072094728169315,[]
35.73,2023-06-12 16:48:03,Debit,Branch,87,1,9073.17,2024-11-04 08:11:09,16,0,511,1,1,1,0.14121878243802805,[]
3.44,2023-01-19 17:24:30,Debit,ATM,108,1,7561.33,2024-11-04 08:12:20,17,3,655,1,0,1,0.08641596921698214,[]
1342.25,2023-04-28 18:11:55,Credit,Branch,235,1,694.03,2024-11-04 08:08:00,18,4,556,0,1,-1,-0.061296108334129906,"['Unusually large amount ($1342.25)', 'Amount is over 50% of account balance']"
139.03,2023-08-30 18:00:09,Credit,Online,81,1,2276.57,2024-11-04 08:11:29,18,2,432,0,2,1,0.04678354985708655,[]
254.92,2023-09-18 16:04:06,Credit,ATM,169,1,2791.12,2024-11-04 08:07:18,16,0,413,0,0,1,0.07178509750750839,[]
115.11,2023-05-05 17:34:22,Debit,Online,139,1,9808.97,2024-11-04 08:10:18,17,4,549,1,2,1,0.08498339367136815,[]
171.11,2023-05-15 16:52:24,Debit,ATM,171,1,6324.09,2024-11-04 08:08:40,16,0,539,1,0,1,0.1479168751715999,[]
168.54,2023-02-02 16:13:13,Debit,ATM,142,2,13406.0,2024-11-04 08:08:14,16,3,641,1,0,1,0.006576899121684465,[]
420.76,2023-02-23 16:04:35,Debit,Branch,76,1,6581.55,2024-11-04 08:08:38,16,3,620,1,1,1,0.12011367641303056,[]
408.46,2023-03-01 16:17:46,Debit,Branch,28,1,3140.79,2024-11-04 08:08:20,16,2,614,1,1,1,0.11575590646901313,[]
1162.42,2023-08-23 16:35:42,Credit,Online,45,1,10357.26,2024-11-04 08:09:09,16,2,439,0,2,-1,-0.009480061620140146,['Unusually large amount ($1162.42)']
342.17,2023-12-14 16:09:42,Credit,Branch,247,1,461.83,2024-11-04 08:08:32,16,3,326,0,1,1,0.02281141795698982,[]
580.71,2023-09-20 16:37:48,Debit,ATM,95,1,5670.0,2024-11-04 08:10:54,16,2,411,1,0,1,0.12865981684201094,[]
821.54,2023-08-22 18:11:16,Credit,Branch,36,1,4040.32,2024-11-04 08:11:57,18,1,440,0,1,1,0.018803295684129973,[]
253.47,2023-06-14 17:07:08,Debit,Branch,238,1,220.51,2024-11-04 08:08:12,17,2,509,1,1,1,0.1060255291806011,[]
22.81,2023-05-29 17:53:03,Debit,Online,75,1,3634.76,2024-11-04 08:07:59,17,0,525,1,2,1,0.14231150789147812,[]
266.57,2023-07-03 17:56:59,Credit,Online,96,1,7180.48,2024-11-04 08:07:10,17,0,490,0,2,1,0.09843392887595986,[]
374.61,2023-08-29 18:30:36,Credit,Online,37,1,1389.71,2024-11-04 08:11:24,18,1,433,0,2,1,0.03409994419111573,[]
339.35,2023-02-03 16:08:47,Credit,ATM,70,1,5002.7,2024-11-04 08:08:17,16,4,640,0,0,1,0.017322352719157608,[]
810.36,2023-01-17 16:59:03,Debit,ATM,67,1,9239.12,2024-11-04 08:07:19,16,1,657,1,0,1,0.0534321140182451,[]
9.83,2023-07-24 17:04:17,Debit,ATM,86,1,666.42,2024-11-04 08:09:03,17,0,469,1,0,1,0.13299452857535843,[]
135.57,2023-06-14 17:17:34,Credit,Branch,116,1,11351.64,2024-11-04 08:11:44,17,2,509,0,1,1,0.07616101184719637,[]
340.05,2023-10-27 17:26:53,Debit,ATM,37,1,7234.15,2024-11-04 08:07:43,17,4,374,1,0,1,0.07873702430963925,[]
283.45,2023-10-17 17:24:47,Debit,Branch,127,1,2049.51,2024-11-04 08:08:51,17,1,384,1,1,1,0.14372067971817432,[]
100.99,2023-05-29 16:20:29,Debit,ATM,114,1,8865.27,2024-11-04 08:09:12,16,0,525,1,0,1,0.1395312338785264,[]
90.88,2023-02-20 16:48:49,Debit,Branch,176,1,3908.47,2024-11-04 08:07:13,16,0,623,1,1,1,0.1377292367225078,[]
655.15,2023-01-02 16:22:54,Debit,ATM,264,1,5587.44,2024-11-04 08:07:15,16,0,672,1,0,1,0.03978877437771733,[]
320.55,2023-05-01 17:11:47,Debit,Online,118,1,438.75,2024-11-04 08:08:14,17,0,553,1,2,1,0.1272244313465019,[]
41.51,2023-10-04 16:47:33,Debit,Online,48,1,609.6,2024-11-04 08:11:54,16,2,397,1,2,1,0.11320149129292184,[]
71.53,2023-10-30 16:49:25,Credit,Branch,39,1,2393.73,2024-11-04 08:12:00,16,0,371,0,1,1,0.09776194650470593,[]
467.13,2023-09-28 17:18:26,Credit,Branch,45,1,3914.84,2024-11-04 08:06:58,17,3,403,0,1,1,0.06562806020398115,[]
235.4,2023-09-26 17:02:25,Debit,Branch,70,1,818.36,2024-11-04 08:10:13,17,1,405,1,1,1,0.14565989467893292,[]
159.32,2023-01-16 18:57:13,Debit,Branch,100,1,304.44,2024-11-04 08:10:32,18,0,658,1,1,1,0.0786804884389789,[]
50.83,2023-12-18 16:06:14,Credit,Online,48,1,9553.42,2024-11-04 08:10:06,16,0,322,0,2,1,0.048261614465307856,[]
56.89,2023-02-03 18:03:56,Credit,Branch,56,1,3034.67,2024-11-04 08:09:52,18,4,640,0,1,1,0.009577577133373372,[]
20.22,2023-03-10 18:26:19,Debit,ATM,138,1,5515.32,2024-11-04 08:06:32,18,4,605,1,0,1,0.05466414520542373,[]
50.4,2023-03-27 17:02:44,Debit,Branch,84,1,1677.01,2024-11-04 08:07:17,17,0,588,1,1,1,0.1519106850152634,[]
73.88,2023-05-08 17:42:36,Debit,Branch,131,1,4055.55,2024-11-04 08:08:11,17,0,546,1,1,1,0.1552073556750863,[]
119.61,2023-03-14 16:21:01,Debit,ATM,53,1,9899.94,2024-11-04 08:07:28,16,1,601,1,0,1,0.10815782400946294,[]
1241.05,2023-11-21 16:26:41,Debit,Branch,129,1,756.74,2024-11-04 08:11:48,16,1,349,1,1,1,0.031388125144030776,[]
116.58,2023-08-31 16:38:18,Debit,Branch,247,1,2620.74,2024-11-04 08:06:50,16,3,431,1,1,1,0.10931770466962026,[]
1919.11,2023-06-27 17:48:25,Debit,ATM,161,1,11090.24,2024-11-04 08:10:27,17,1,496,1,0,1,0.0021164298007076976,[]
391.96,2023-06-19 16:21:58,Debit,ATM,79,1,2174.16,2024-11-04 08:06:47,16,0,504,1,0,1,0.1480616166117295,[]
156.26,2023-01-02 17:49:44,Credit,Branch,160,1,7854.1,2024-11-04 08:09:29,17,0,672,0,1,1,0.057023500097482804,[]
